Name,BodyweightKg,TotalKg,WeightClassKg,Federation,Date,MeetName
dinanth sahni shyam,94.85,380.0,105,IPF,2018-10-02,world masters powerlifting championships
dinesh s.a,72.72,680.0,74,IPF,2023-08-24,world junior and sub-junior equipped championships
dion thomas,98.55,452.5,105,IPF,2024-11-11,world open equipped powerlifting championships
dion thomas,90.8,465.0,93,IPF,2015-11-09,world powerlifting championships
diyarbek abdurashidov,84.8,595.0,93,IPF,2022-08-27,world junior equipped powerlifting championships
diyaz mukhamedin,58.98,505.0,59,IPF,2023-08-24,world junior and sub-junior equipped championships
dmitrii chubarov,65.45,657.5,66,IPF,2018-09-03,world juniors & sub-juniors championships
dmitrii evdokimov,58.6,552.5,59,IPF,2021-08-23,world juniors sub-juniors & masters championships
dmitrii lagutin,58.7,530.0,59,IPF,2018-09-03,world juniors & sub-juniors championships
dmitrii zaitsev,65.7,652.5,66,IPF,2018-09-03,world juniors & sub-juniors championships
dmitrii zaitsev,73.7,760.5,74,IPF,2019-08-26,world juniors & sub-juniors championships
dmitriy dokalin,133.1,980.0,120+,EPF,2013-04-09,european sub-juniors & juniors powerlifting championships
dmitriy evdokimov,58.76,505.0,59,EPF,2019-05-04,european equipped powerlifting championships
dmitriy gorelov,130.2,470.0,120+,EPF,2015-04-07,european sub-junior & junior powerlifting championships
dmitriy ivanchenko,158.05,535.0,120+,IPF,2022-08-27,world junior equipped powerlifting championships
dmitro pavlenko,110.5,940.0,120,EPF,2015-04-07,european sub-junior & junior powerlifting championships
dmitry chubarov,58.6,502.5,59,EPF,2014-04-09,european sub-juniors & juniors championships
dmitry chubarov,66.0,640.0,66,EPF,2017-05-08,european equipped powerlifting championships
dmitry devyatkin,52.76,547.5,53,IPF,2011-08-30,world sub-juniors & juniors powerlifting championships
dmitry inzarkin,92.04,1035.0,93,IPF,2019-11-18,world powerlifting championships
dmitry makarov,73.1,817.5,74,EPF,2012-05-08,european open powerlifting championships
dmitry ovsyanskiy,80.4,672.5,83,EPF,2012-06-05,european juniors & sub-juniors powerlifting championships
dmitry ovsyanskiy,92.71,820.0,93,EPF,2017-05-08,european equipped powerlifting championships
dmitry petrov,178.34,812.5,120+,IPF,2011-08-30,world sub-juniors & juniors powerlifting championships
dmytro butenko,58.55,532.5,59,IPF,2022-08-27,world junior equipped powerlifting championships
dmytro butenko,65.63,635.0,66,EPF,2024-05-07,european open junior and sub-junior equipped powerlifting championships
dmytro holinei,119.38,912.5,120,IPF,2023-08-24,world junior and sub-junior equipped championships
dmytro kovbasiuk,65.93,570.0,66,EPF,2018-05-06,european men's championships
dmytro lenko,91.79,675.0,93,EPF,2021-08-03,european open juniors & sub-juniors powerlifting championships
dmytro manko,58.74,410.0,59,EPF,2018-05-06,european men's championships
dmytro rozhanskyi,104.8,910.0,105,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
dmytro rozhanskyi,91.95,767.5,93,IPF,2021-08-23,world juniors sub-juniors & masters championships
dmytro semenenko,104.98,1090.5,105,IPF,2017-11-13,world powerlifting championships
dmytro sivakov,73.5,630.0,74,IPF,2021-08-23,world juniors sub-juniors & masters championships
dmytro smandych,90.75,875.0,93,EPF,2011-06-11,european junior & sub-junior powerlifting championships
dmytro vovchok,130.85,835.0,120+,EPF,2024-05-07,european open junior and sub-junior equipped powerlifting championships
domantas barauskas,104.0,655.0,105,IPF,2022-08-27,world junior equipped powerlifting championships
domingo gonzález martínez,104.68,722.5,105,EPF,2024-05-07,european open junior and sub-junior equipped powerlifting championships
dominic cadden,65.52,620.0,66,IPF,2012-10-02,world masters powerlifting championships
dominic hetu,92.7,625.0,93,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
dominik beres,58.3,367.5,59,EPF,2015-04-07,european sub-junior & junior powerlifting championships
dominik golak,58.71,512.5,59,EPF,2021-08-03,european open juniors & sub-juniors powerlifting championships
dominik golak,64.3,620.0,66,EPF,2012-05-08,european open powerlifting championships
dominik held,73.7,485.0,74,EPF,2021-08-03,european open juniors & sub-juniors powerlifting championships
dominik held,84.76,545.0,93,EPF,2022-05-03,european powerlifting championships
dominik olexa,111.45,850.0,120,EPF,2013-10-05,danube cup
dominik pahl,104.52,847.5,105,IPF,2013-08-27,world juniors & sub-juniors championships
dominik pahl,119.0,987.5,120,IPF,2021-11-08,world powerlifting championships
dominik plaskonis,118.15,812.5,120,IPF,2022-08-27,world junior equipped powerlifting championships
dominik plaskonis,125.5,817.5,120+,IPF,2023-08-24,world junior and sub-junior equipped championships
dominik taupinard,98.71,790.0,105,EPF,2011-07-05,european masters powerlifting championships
dominique carlot,82.88,672.5,83,EPF,2013-07-09,european masters powerlifting championships
dominique mouchet,82.16,505.0,83,IPF,2016-10-03,world masters championships
donato albano,90.86,765.0,93,EPF,2016-09-08,western european powerlifting championships
done murali krishna,58.55,633.0,59,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
doni meiyanto,73.0,837.5,74,IPF,2017-11-13,world powerlifting championships
doug currence,104.58,802.5,105,IPF,2011-09-26,world masters powerlifting championships
doug d'gama,82.62,630.0,83,EPF,2012-07-17,european masters powerlifting championships
dovydas dargevičius,52.37,327.5,53,EPF,2016-04-14,european sub-juniors & juniors championships
duane bartolet,86.86,525.0,93,IPF,2014-09-21,world masters powerlifting championships
duvjid boldbaatar,73.1,630.0,74,IPF,2014-09-01,world sub-juniors & juniors powerlifting championships
duvjid boldbaatar,82.1,847.5,83,IPF,2024-11-11,world open equipped powerlifting championships
dušan švarcbach,72.99,625.0,74,EPF,2015-07-14,european masters powerlifting championships
